;;Traffic Load X = 50Gbps;;;;;;Traffic Load X = 100Gbps;;;;;;Traffic Load X = 200Gbps;;;;;
;;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP
;1 fiber/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;164;18;182;9.8;5.424;5.424;164;19;182;10.2;5.397;5.397;215;58;272;21.2;5.431;5.399
;30/70;164;18;182;9.8;5.409;5.409;164;18;182;9.7;5.375;5.375;215;59;274;21.4;5.629;5.381
;50/50;165;17;182;9.5;5.414;5.414;164;18;182;10.0;5.400;5.400;215;54;268;20.1;5.770;5.394
;2 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;276;4;280;1.3;5.569;5.503
;30/70;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;264;4;268;1.3;5.751;5.503
;50/50;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;260;0;260;0.1;5.940;5.503
;4 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;269;0;269;0;5.554;5.503
;30/70;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;271;0;271;0;5.709;5.503
;50/50;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;262;0;262;0;5.913;5.503
LP=Lightpath;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;Traffic Load X = 50Gbps;;;;;;Traffic Load X = 100Gbps;;;;;;Traffic Load X = 200Gbps;;;;;
;With Wavelength Converters;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP
;1 fiber/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;164;18;182;9.7;5.433;5.433;164;18;182;10.1;5.399;5.399;216;53;269;19.7;5.429;5.391
;30/70;164;18;182;9.7;5.421;5.421;164;18;182;9.7;5.389;5.389;217;61;278;21.9;5.631;5.401
;50/50;166;16;182;9.0;5.426;5.426;164;18;182;9.7;5.395;5.395;215;51;266;19.0;5.847;5.382
;2 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;276;4;280;1.5;5.618;5.503
;30/70;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;262;3;265;1.2;5.807;5.503
;50/50;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;264;0;264;0.1;5.919;5.503
;4 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;266;0;266;0;5.598;5.503
;30/70;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;269;0;269;0;5.701;5.503
;50/50;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;263;0;263;0;5.980;5.503
LP=Lightpath;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;Traffic Load X = 50Gbps;;;;;;Traffic Load X = 100Gbps;;;;;;Traffic Load X = 200Gbps;;;;;
;Without Wavelength Converters;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP;Pass LPs;Blocked LPs;Total LPs;Blocked %;Latency mean QHP, QLP;Latency QHP
;1 fiber/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;164;18;182;9.9;5.414;5.414;163;19;182;10.2;5.395;5.395;213;62;275;22.6;5.432;5.406
;30/70;164;18;182;9.9;5.398;5.398;164;18;182;9.7;5.362;5.362;212;56;269;21.0;5.627;5.361
;50/50;164;18;182;10.0;5.402;5.402;163;19;182;10.3;5.406;5.406;214;57;271;21.1;5.694;5.406
;2 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;277;3;280;1.0;5.521;5.503
;30/70;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;266;4;270;1.3;5.695;5.503
;50/50;182;0;182;0.0;5.503;5.503;182;0;182;0.0;5.503;5.503;256;0;256;0.0;5.960;5.503
;4 fibers/link;;;;;;;;;;;;;;;;;;
"traffic split
QHP/QLP";10/90;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;271;0;271;0;5.509;5.503
;30/70;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;272;0;272;0;5.717;5.503
;50/50;182;0;182;0;5.503;5.503;182;0;182;0.0;5.503;5.503;260;0;260;0;5.846;5.503
LP=Lightpath;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
